Instrument Name,LMAX ID,LMAX symbol ,Contract Multiplier,Tick Size,Tick Value,Effective Date,Expiry Date,Quoted CCY,
GBP/NOK,100511,GBP/NOK,10000,0.00001,0.1,05/07/2011,,NOK,
USD/NOK,100513,USD/NOK,10000,0.00001,0.1,05/07/2011,,NOK,
EUR/NZD,100515,EUR/NZD,10000,0.00001,0.1,05/07/2011,,NZD,
GBP/NZD,100517,GBP/NZD,10000,0.00001,0.1,05/07/2011,,NZD,
EUR/PLN,100519,EUR/PLN,10000,0.00001,0.1,05/07/2011,,PLN,
GBP/PLN,100521,GBP/PLN,10000,0.00001,0.1,05/07/2011,,PLN,
USD/PLN,100523,USD/PLN,10000,0.00001,0.1,05/07/2011,,PLN,
EUR/SEK,100525,EUR/SEK,10000,0.00001,0.1,05/07/2011,,SEK,
GBP/SEK,100527,GBP/SEK,10000,0.00001,0.1,05/07/2011,,SEK,
USD/SEK,100529,USD/SEK,10000,0.00001,0.1,05/07/2011,,SEK,
EUR/SGD,100531,EUR/SGD,10000,0.00001,0.1,05/07/2011,,SGD,
GBP/SGD,100533,GBP/SGD,10000,0.00001,0.1,05/07/2011,,SGD,
USD/SGD,100535,USD/SGD,10000,0.00001,0.1,05/07/2011,,SGD,
EUR/TRY,100537,EUR/TRY,10000,0.00001,0.1,05/07/2011,,TRY,
GBP/TRY,100539,GBP/TRY,10000,0.00001,0.1,05/07/2011,,TRY,
USD/TRY,100541,USD/TRY,10000,0.00001,0.1,05/07/2011,,TRY,
EUR/ZAR,100543,EUR/ZAR,10000,0.00001,0.1,05/07/2011,,ZAR,
GBP/ZAR,100545,GBP/ZAR,10000,0.00001,0.1,05/07/2011,,ZAR,
USD/ZAR,100547,USD/ZAR,10000,0.00001,0.1,05/07/2011,,ZAR,
NZD/USD,100613,NZD/USD,10000,0.00001,0.1,29/09/2011,,USD,
AUD/NZD,100615,AUD/NZD,10000,0.00001,0.1,29/09/2011,,NZD,
