dateTime,last,lastDateTime,volBid,volAsk,bid,ask,vol
1325455320000,1.29385,1325455320000,0,0,1.29385,1.29385,0
1325455380000,1.29387,1325455380000,0,0,1.29387,1.29387,0
1325455680000,1.29386,1325455680000,0,0,1.29386,1.29386,0
1325455740000,1.29382,1325455740000,0,0,1.29382,1.29382,0
1325455860000,1.29381,1325455860000,0,0,1.29381,1.29381,0
1325455920000,1.29382,1325455920000,0,0,1.29382,1.29382,0
1325456160000,1.29415,1325456160000,0,0,1.29415,1.29415,0
1325456340000,1.29409,1325456340000,0,0,1.29409,1.29409,0
1325456400000,1.29413,1325456400000,0,0,1.29413,1.29413,0
1325456460000,1.29415,1325456460000,0,0,1.29415,1.29415,0
1325456520000,1.29429,1325456520000,0,0,1.29429,1.29429,0
1325456580000,1.29426,1325456580000,0,0,1.29426,1.29426,0
1325456640000,1.29429,1325456640000,0,0,1.29429,1.29429,0
1325456700000,1.29428,1325456700000,0,0,1.29428,1.29428,0
1325457060000,1.2939,1325457060000,0,0,1.2939,1.2939,0
1325457120000,1.29404,1325457120000,0,0,1.29404,1.29404,0
1325457180000,1.29362,1325457180000,0,0,1.29362,1.29362,0
1325457240000,1.2939,1325457240000,0,0,1.2939,1.2939,0
1325457360000,1.29372,1325457360000,0,0,1.29372,1.29372,0
1325457420000,1.2942,1325457420000,0,0,1.2942,1.2942,0
1325457480000,1.29436,1325457480000,0,0,1.29436,1.29436,0
1325457540000,1.29423,1325457540000,0,0,1.29423,1.29423,0
1325457600000,1.29422,1325457600000,0,0,1.29422,1.29422,0
1325457780000,1.29423,1325457780000,0,0,1.29423,1.29423,0
1325457900000,1.29435,1325457900000,0,0,1.29435,1.29435,0
1325457960000,1.29449,1325457960000,0,0,1.29449,1.29449,0
1325458020000,1.2945,1325458020000,0,0,1.2945,1.2945,0
1325458080000,1.2945,1325458080000,0,0,1.2945,1.2945,0
1325458140000,1.29448,1325458140000,0,0,1.29448,1.29448,0
1325458200000,1.29448,1325458200000,0,0,1.29448,1.29448,0
1325458260000,1.29419,1325458260000,0,0,1.29419,1.29419,0
1325458320000,1.29418,1325458320000,0,0,1.29418,1.29418,0
1325458440000,1.29449,1325458440000,0,0,1.29449,1.29449,0
1325458500000,1.29448,1325458500000,0,0,1.29448,1.29448,0
1325458560000,1.29448,1325458560000,0,0,1.29448,1.29448,0
1325458620000,1.29444,1325458620000,0,0,1.29444,1.29444,0
1325458680000,1.29444,1325458680000,0,0,1.29444,1.29444,0
1325458740000,1.29444,1325458740000,0,0,1.29444,1.29444,0
1325458800000,1.29449,1325458800000,0,0,1.29449,1.29449,0
